 avg_rating,father,grandfather,price,ratings,sum_rating,super_father,title
0,儿童智能手表,智能生活,￥122.06,,,电子配件、智能生活,
0,VR/AR,智能生活,,,,电子配件、智能生活,
0,设备配件,视听娱乐,￥645.58,,,手机、摄影、数码,
0,智能手环,智能生活,,,,电子配件、智能生活,
0,智能手表,智能生活,￥133.71,,,电子配件、智能生活,
0,儿童智能手表,智能生活,￥256.36,,,电子配件、智能生活,
0,VR/AR,智能生活,￥769.13,,,电子配件、智能生活,
0,投影机,视听娱乐,"￥5,872.46",,,手机、摄影、数码,
0,设备配件,视听娱乐,￥304.76,,,手机、摄影、数码,
0,智能手环,智能生活,￥51.94,,,电子配件、智能生活,
0,智能手表,智能生活,￥171.10,,,电子配件、智能生活,
0,儿童智能手表,智能生活,￥599.00,,,电子配件、智能生活,
0,VR/AR,智能生活,,,,电子配件、智能生活,
0,投影机,视听娱乐,"￥3,725.59",,,手机、摄影、数码,
0,设备配件,视听娱乐,"￥2,196.49",,,手机、摄影、数码,
0,智能手环,智能生活,￥179.00,,,电子配件、智能生活,
0,智能手表,智能生活,"￥1,077.79",,,电子配件、智能生活,
0,儿童智能手表,智能生活,￥124.34,,,电子配件、智能生活,
0,VR/AR,智能生活,￥63.41,,,电子配件、智能生活,
0,投影机,视听娱乐,"￥7,578.02",,,手机、摄影、数码,
0,设备配件,视听娱乐,￥296.92,,,手机、摄影、数码,
0,智能手环,智能生活,￥391.75,,,电子配件、智能生活,
0,智能手表,智能生活,"￥1,688.00",,,电子配件、智能生活,
0,儿童智能手表,智能生活,￥898.00,,,电子配件、智能生活,
0,VR/AR,智能生活,￥51.94,,,电子配件、智能生活,
0,投影机,视听娱乐,"￥3,599.00",,,手机、摄影、数码,
0,设备配件,视听娱乐,"￥1,188.82",,,手机、摄影、数码,
0,智能手环,智能生活,"￥1,335.85",,,电子配件、智能生活,
0,智能手表,智能生活,￥494.75,,,电子配件、智能生活,
0,儿童智能手表,智能生活,￥69.00,,,电子配件、智能生活,
0,VR/AR,智能生活,,,,电子配件、智能生活,
0,投影机,视听娱乐,"￥5,806.66",,,手机、摄影、数码,
0,设备配件,视听娱乐,"￥1,228.54",,,手机、摄影、数码,
0,智能手环,智能生活,,,,电子配件、智能生活,
0,智能手表,智能生活,￥357.35,,,电子配件、智能生活,
0,儿童智能手表,智能生活,￥207.15,,,电子配件、智能生活,
0,VR/AR,智能生活,￥267.49,,,电子配件、智能生活,
0,功放,视听娱乐,"￥3,171.06",,,手机、摄影、数码,
0,投影机,视听娱乐,"￥2,799.00",,,手机、摄影、数码,
0,设备配件,视听娱乐,￥688.36,,,手机、摄影、数码,
0,智能手环,智能生活,￥22.01,,,电子配件、智能生活,
0,智能手表,智能生活,￥238.05,,,电子配件、智能生活,
0,儿童智能手表,智能生活,￥99.84,,,电子配件、智能生活,
0,VR/AR,智能生活,￥156.00,,,电子配件、智能生活,
0,功放,视听娱乐,"￥3,319.99",,,手机、摄影、数码,
0,投影机,视听娱乐,￥699.00,,,手机、摄影、数码,
0,设备配件,视听娱乐,￥466.54,,,手机、摄影、数码,
0,智能手环,智能生活,,,,电子配件、智能生活,
0,智能手表,智能生活,,,,电子配件、智能生活,
0,儿童智能手表,智能生活,￥153.28,,,电子配件、智能生活,
0,VR/AR,智能生活,￥606.26,,,电子配件、智能生活,
0,功放,视听娱乐,"￥7,985.38",,,手机、摄影、数码,
0,投影机,视听娱乐,￥557.34,,,手机、摄影、数码,
0,设备配件,视听娱乐,￥220.30,,,手机、摄影、数码,
0,智能手环,智能生活,￥148.57,,,电子配件、智能生活,
0,智能手表,智能生活,"￥2,600.98",,,电子配件、智能生活,
0,儿童智能手表,智能生活,￥378.00,,,电子配件、智能生活,
0,回音壁,视听娱乐,￥973.12,,,手机、摄影、数码,
0,功放,视听娱乐,"￥2,361.91",,,手机、摄影、数码,
0,投影机,视听娱乐,"￥4,046.09",,,手机、摄影、数码,
0,设备配件,视听娱乐,￥161.83,,,手机、摄影、数码,
0,智能手环,智能生活,￥95.80 - ￥685.23,,,电子配件、智能生活,
0,智能手表,智能生活,￥370.85,,,电子配件、智能生活,
0,儿童智能手表,智能生活,￥68.06,,,电子配件、智能生活,
0,回音壁,视听娱乐,"￥1,622.66",,,手机、摄影、数码,
0,功放,视听娱乐,"￥4,118.37",,,手机、摄影、数码,
0,投影机,视听娱乐,"￥1,761.37",,,手机、摄影、数码,
0,设备配件,视听娱乐,￥736.91,,,手机、摄影、数码,
0,智能手环,智能生活,,,,电子配件、智能生活,
0,智能手表,智能生活,,,,电子配件、智能生活,
0,儿童智能手表,智能生活,￥640.15,,,电子配件、智能生活,
0,回音壁,视听娱乐,"￥1,099.00",,,手机、摄影、数码,
0,功放,视听娱乐,￥552.31,,,手机、摄影、数码,
0,投影机,视听娱乐,"￥4,442.90",,,手机、摄影、数码,
0,设备配件,视听娱乐,￥475.81,,,手机、摄影、数码,
0,智能手环,智能生活,,,,电子配件、智能生活,
0,智能手表,智能生活,"￥2,210.26",,,电子配件、智能生活,
0,迷你音响,视听娱乐,￥874.71,,,手机、摄影、数码,
0,回音壁,视听娱乐,"￥1,099.00",,,手机、摄影、数码,
0,功放,视听娱乐,"￥6,658.59",,,手机、摄影、数码,
0,投影机,视听娱乐,"￥1,499.73",,,手机、摄影、数码,
0,设备配件,视听娱乐,"￥1,588.22",,,手机、摄影、数码,
0,智能手环,智能生活,￥384.85,,,电子配件、智能生活,
0,智能手表,智能生活,￥29.36,,,电子配件、智能生活,
0,迷你音响,视听娱乐,￥299.00,,,手机、摄影、数码,
0,回音壁,视听娱乐,"￥2,379.32",,,手机、摄影、数码,
0,功放,视听娱乐,"￥2,496.84",,,手机、摄影、数码,
0,投影机,视听娱乐,"￥2,499.00",,,手机、摄影、数码,
0,设备配件,视听娱乐,￥208.00,,,手机、摄影、数码,
0,智能手环,智能生活,,,,电子配件、智能生活,
0,智能手表,智能生活,￥148.58,,,电子配件、智能生活,
0,迷你音响,视听娱乐,"￥1,898.00",,,手机、摄影、数码,
0,回音壁,视听娱乐,"￥2,052.02",,,手机、摄影、数码,
0,功放,视听娱乐,"￥2,580.00",,,手机、摄影、数码,
0,投影机,视听娱乐,"￥2,357.96",,,手机、摄影、数码,
0,设备配件,视听娱乐,￥109.00,,,手机、摄影、数码,
0,智能手环,智能生活,￥179.00,,,电子配件、智能生活,
0,迷你音响,视听娱乐,"￥2,598.00",,,手机、摄影、数码,
0,回音壁,视听娱乐,￥89.00,,,手机、摄影、数码,
0,功放,视听娱乐,"￥13,800.00",,,手机、摄影、数码,
0,投影机,视听娱乐,"￥5,399.00",,,手机、摄影、数码,
0,设备配件,视听娱乐,"￥1,385.11",,,手机、摄影、数码,
0,智能手环,智能生活,"￥1,249.85",,,电子配件、智能生活,
0,家庭影院,视听娱乐,"￥2,758.97",,,手机、摄影、数码,
0,迷你音响,视听娱乐,￥973.12,,,手机、摄影、数码,
0,回音壁,视听娱乐,"￥1,260.00",,,手机、摄影、数码,
0,功放,视听娱乐,￥635.16,,,手机、摄影、数码,
0,投影机,视听娱乐,￥599.00,,,手机、摄影、数码,
0,设备配件,视听娱乐,￥103.61,,,手机、摄影、数码,
0,智能手环,智能生活,￥148.57,,,电子配件、智能生活,
0,家庭影院,视听娱乐,"￥2,133.45",,,手机、摄影、数码,
0,迷你音响,视听娱乐,"￥1,214.21",,,手机、摄影、数码,
0,回音壁,视听娱乐,￥838.00,,,手机、摄影、数码,
0,功放,视听娱乐,￥564.65,,,手机、摄影、数码,
0,投影机,视听娱乐,"￥3,836.91",,,手机、摄影、数码,
0,设备配件,视听娱乐,￥166.98,,,手机、摄影、数码,
0,智能手环,智能生活,￥128.73,,,电子配件、智能生活,
0,电池/充电器,数码配件,￥60.00,,,手机、摄影、数码,
0,家庭影院,视听娱乐,"￥5,981.25",,,手机、摄影、数码,
0,迷你音响,视听娱乐,"￥1,037.81",,,手机、摄影、数码,
0,回音壁,视听娱乐,"￥2,418.04",,,手机、摄影、数码,
0,功放,视听娱乐,"￥3,145.90",,,手机、摄影、数码,
0,投影机,视听娱乐,"￥13,489.00",,,手机、摄影、数码,
0,设备配件,视听娱乐,￥107.06,,,手机、摄影、数码,
0,电池/充电器,数码配件,￥292.07,,,手机、摄影、数码,
0,家庭影院,视听娱乐,"￥1,523.62",,,手机、摄影、数码,
0,迷你音响,视听娱乐,"￥1,490.00",,,手机、摄影、数码,
0,回音壁,视听娱乐,￥820.39,,,手机、摄影、数码,
0,功放,视听娱乐,"￥4,812.42",,,手机、摄影、数码,
0,投影机,视听娱乐,"￥11,783.63",,,手机、摄影、数码,
0,设备配件,视听娱乐,￥99.00,,,手机、摄影、数码,
0,闪光灯,数码配件,"￥2,798.86",,,手机、摄影、数码,
0,电池/充电器,数码配件,,,,手机、摄影、数码,
0,家庭影院,视听娱乐,￥645.58,,,手机、摄影、数码,
0,迷你音响,视听娱乐,￥299.00,,,手机、摄影、数码,
0,回音壁,视听娱乐,"￥9,910.00",,,手机、摄影、数码,
0,功放,视听娱乐,"￥3,844.51",,,手机、摄影、数码,
0,投影机,视听娱乐,"￥5,597.00",,,手机、摄影、数码,
0,设备配件,视听娱乐,￥63.10,,,手机、摄影、数码,
0,闪光灯,数码配件,￥313.00,,,手机、摄影、数码,
0,电池/充电器,数码配件,￥110.98,,,手机、摄影、数码,
0,家庭影院,视听娱乐,"￥2,072.05",,,手机、摄影、数码,
0,迷你音响,视听娱乐,"￥2,050.00",,,手机、摄影、数码,
0,回音壁,视听娱乐,"￥3,480.00",,,手机、摄影、数码,
0,功放,视听娱乐,"￥1,659.87",,,手机、摄影、数码,
0,投影机,视听娱乐,"￥1,218.00",,,手机、摄影、数码,
0,闪光灯,数码配件,￥172.84,,,手机、摄影、数码,
0,电池/充电器,数码配件,￥60.57,,,手机、摄影、数码,
0,家庭影院,视听娱乐,￥700.37,,,手机、摄影、数码,
0,迷你音响,视听娱乐,￥588.00,,,手机、摄影、数码,
0,回音壁,视听娱乐,￥553.11,,,手机、摄影、数码,
0,功放,视听娱乐,"￥1,439.98",,,手机、摄影、数码,
0,投影机,视听娱乐,"￥6,388.00",,,手机、摄影、数码,
0,闪光灯,数码配件,￥331.41,,,手机、摄影、数码,
0,电池/充电器,数码配件,￥149.08,,,手机、摄影、数码,
0,家庭影院,视听娱乐,"￥2,899.00",,,手机、摄影、数码,
0,迷你音响,视听娱乐,"￥1,280.00",,,手机、摄影、数码,
0,回音壁,视听娱乐,"￥1,750.00",,,手机、摄影、数码,
0,功放,视听娱乐,"￥2,395.40",,,手机、摄影、数码,
0,投影机,视听娱乐,￥419.00,,,手机、摄影、数码,
0,自拍杆,数码配件,￥188.00,,,手机、摄影、数码,
0,闪光灯,数码配件,￥198.00,,,手机、摄影、数码,
0,电池/充电器,数码配件,￥151.46,,,手机、摄影、数码,
0,家庭影院,视听娱乐,"￥2,988.17",,,手机、摄影、数码,
0,迷你音响,视听娱乐,￥399.00,,,手机、摄影、数码,
0,回音壁,视听娱乐,"￥1,277.39",,,手机、摄影、数码,
0,功放,视听娱乐,"￥1,991.19",,,手机、摄影、数码,
0,投影机,视听娱乐,"￥2,797.76",,,手机、摄影、数码,
0,自拍杆,数码配件,￥39.00,,,手机、摄影、数码,
0,闪光灯,数码配件,￥59.38,,,手机、摄影、数码,
0,电池/充电器,数码配件,￥199.52,,,手机、摄影、数码,
0,家庭影院,视听娱乐,￥973.12,,,手机、摄影、数码,
0,迷你音响,视听娱乐,￥599.00,,,手机、摄影、数码,
0,回音壁,视听娱乐,"￥3,280.00",,,手机、摄影、数码,
0,功放,视听娱乐,"￥5,957.18",,,手机、摄影、数码,
0,自拍杆,数码配件,￥141.14,,,手机、摄影、数码,
0,闪光灯,数码配件,￥74.40,,,手机、摄影、数码,
